t,SINR
8.53,15.5325264631454
8.535,19.5291061544203
8.54,13.2256030728446
8.545,16.7375732854301
8.55,16.478527315348
8.555,14.9454866739292
8.56,15.5732046842127
8.565,23.3329397501562
8.57,17.5797679909604
8.575,19.0969019508738
8.58,22.0069924773422
8.585,34.3135438784073
8.59,15.284730143477
8.595,31.0015265323984
8.6,20.587855900832
8.605,7.02923857571385
8.61,7.69045438349476
8.615,19.1632914734164
8.62,15.3972813227684
8.625,26.8841728865332
8.63,20.8462604490228
8.635,16.0803582312246
8.64,18.9082795431935
8.645,13.7061138842703
8.65,15.203744364684
8.655,20.171512127212
8.66,16.9428041484535
8.665,23.805927444412
8.67,28.27389447931
8.675,30.6729940165543
8.68,34.6818382363572
8.685,27.4752438374395
8.69,23.3616453998735
8.695,15.6505171021959
8.7,21.9204132874203
8.705,16.9591372268383
8.71,20.5376360253054
8.715,31.5967424311038
8.72,18.6272660253026
8.725,11.931098523728
8.73,13.895288505804
8.735,21.4830552011747
8.74,21.4724226895724
8.745,22.621575778649
8.75,23.4814835777784
8.755,23.0412489653065
8.76,18.2734502167594
8.765,21.9834963415173
8.77,32.1447739291353
8.775,30.3192710894705
8.78,30.6785158361757
8.785,36.1788377062952
8.79,29.5039738695303
8.795,21.8168466349169
8.8,18.1090374860086
8.805,17.9752461519604
8.81,20.0683056182235
8.815,15.2836223928432
8.82,16.4057323845385
8.825,22.0075283602687
8.83,20.0236749084582
8.835,21.6910909773698
8.84,29.4287794580616
8.845,29.4604200105896
8.85,25.4662503037048
8.855,40.8159220714407
8.86,37.4495129076034
8.865,30.6436477105462
8.87,31.7542064875101
8.875,33.3585822787281
8.88,27.6774891798139
8.885,19.0847950052775
8.89,34.9870410123112
8.895,17.3280467401412
8.9,28.8636008716543
8.905,19.5140972388404
8.91,13.65998095023
8.915,18.532659189215
8.92,22.3170365572272
8.925,25.3459125903425
8.93,18.1165900917219
8.935,20.2541970920759
8.94,17.994002624408
8.945,22.2588718070228
8.95,19.1020701467674
8.955,23.5268345751461
8.96,29.1456100492644
8.965,21.1133170897374
8.97,19.3415988420298
8.975,23.0022908294091
8.98,20.5097108472508
8.985,17.5894241205629
8.99,20.2811110903775
8.995,15.850516973643
9,15.3099185659405
9.005,18.1599799166933
9.01,19.0722274114623
9.015,19.0616506563485
9.02,27.7746940019866
9.025,20.995708979907
9.03,19.2494913086852
9.035,42.666321723285
9.04,29.367744013476
9.045,34.7572219509994
9.05,35.0408221511182
9.055,31.5671959840438
9.06,20.0657278983136
9.065,27.7028672126021
9.07,20.0915986468541
9.075,19.501486924501
9.08,17.0976635649314
9.085,13.1808952167475
9.09,37.803295282035
9.095,24.1349752905216
9.1,21.4661073459259
9.105,17.5338789918791
9.11,28.5027889621334
9.115,19.2719364601456
9.12,27.3110285507233
9.125,29.5466130832224
9.13,21.0663141087566
9.135,28.9790917795691
9.14,34.3218329650413
9.145,30.333550900352
9.15,26.7384657689352
9.155,26.5298563287818
9.16,27.1331259900763
9.165,22.75569945381
9.17,19.9814881438649
9.175,24.4104846017029
9.18,25.9359357326655
9.185,27.7845821638549
9.19,31.3436937242564
9.195,27.1627821477347
9.2,27.2870083775765
9.205,21.1090412269677
9.21,26.1424559435842
9.215,34.5954825532974
9.22,24.8303460768749
9.225,26.0165868629387
9.23,33.7292131244455
9.235,26.4359120994426
9.24,22.5638929136086
9.245,16.9654337868294
9.25,17.5356146559227
9.255,26.5496271116689
9.26,24.5187684484617
9.265,27.2517512162669
9.27,24.3906064437455
9.275,16.3500126864139
9.28,30.6300420382554
9.285,18.3452183732891
9.29,30.3293575504418
9.295,30.1313423884998
9.3,20.1001949386085
9.305,30.9861686413893
9.31,17.8723813928026
9.315,26.1268099542219
9.32,41.2429581204379
9.325,19.5388336504673
9.33,24.4830343701048
9.335,17.6432851051402
9.34,33.6286256609262
9.345,24.4761900927538
9.35,28.4742969479269
9.355,32.0452473747161
9.36,15.2439889017571
9.365,30.7283160188401
9.37,35.9849458793984
9.375,37.772497364671
9.38,27.5845945360728
9.385,24.0781343176727
9.39,27.7392322557323
9.395,32.836649272158
9.4,22.5221823049097
9.405,27.6939195659846
9.41,21.6403282366841
9.415,14.6232212075593
9.42,27.5618790907792
9.425,31.9119083475185
9.43,28.6288403467394
9.435,23.0971821961571
9.44,26.9048871918403
9.445,29.3429163274081
9.45,33.0464559014819
9.455,40.4118201453411
9.46,39.7198470999305
9.465,29.0326221449461
9.47,43.7038371278472
9.475,26.5205550263982
9.48,26.9665930803447
9.485,24.869847139315
9.49,28.2983563617549
9.495,22.5866606926528
9.5,23.1616441154609
9.505,26.9801336229098
9.51,24.2496689745634
9.515,17.9717905131666
9.52,31.2590604102012
9.525,25.0354749865522
9.53,31.5989896795087
9.535,25.9166831127681
9.54,28.7142941285389
9.545,26.8829055674451
9.55,27.8924528576306
9.555,30.379470018268
9.56,36.6979165660518
9.565,25.0493290768376
9.57,29.6427442925187
9.575,24.7591826606561
9.58,31.9856152282378
9.585,24.462875992549
9.59,27.3732943080576
9.595,23.8012691240294
9.6,25.2884613690708
9.605,28.7902189804413
9.61,3.76908557978936
9.615,5.89998473472463
9.62,10.9264987740699
9.625,5.24347285431178
9.63,8.61479625116171
9.635,1.33645891757249
9.64,10.1071101334982
9.645,8.43695669551468
9.65,11.1336313112213
9.655,-3.53463953643568
9.66,5.56844793791367
9.665,-0.821494739521576
9.67,1.49375633207677
9.675,-0.45886091623759
9.68,8.75957662225193
9.685,14.5789262534726
9.69,17.0390221261774
9.695,15.6440225526977
9.7,11.2744370624694
9.705,18.2453402378811
9.71,2.28696141578012
9.715,12.7831004694883
9.72,-4.72532806235017
9.725,-0.50327956901782
9.73,7.86944277533405
9.735,0.707255004047774
9.74,7.93710197355104
9.745,0.213040634393508
9.75,12.0034308273831
9.755,13.3668651208232
9.76,10.5723573792369
9.765,-1.15546422723781
9.77,11.0680628458587
9.775,12.1764111611939
9.78,9.86194194856305
9.785,13.4745662965486
9.79,2.97488623127721
9.795,-2.93833601958951
9.8,16.0469716215855
9.805,-1.57165803719477
9.81,22.5092650480134
9.815,-3.92850476166011
9.82,27.7490002277634
9.825,8.70666945063816
9.83,15.9190866477101
9.835,10.8861384734014
9.84,17.1239214381947
9.845,8.23195350425406
9.85,0.208438373445624
9.855,-1.58042862966688
9.86,2.10584260307495
9.865,12.0531946705695
9.87,-3.18590274272415
9.875,8.65887163091878
9.88,3.64386036725993
9.885,12.7496824509615
9.89,-6.9167275471711
9.895,10.1824469531732
9.9,-7.98628762522449
9.905,3.23524243301244
9.91,14.1135839582376
9.915,11.5700461357118
9.92,24.9918424910625
9.925,10.3071108371155
9.93,10.1454105831756
9.935,13.2873704636697
9.94,2.57781860948654
9.945,-1.43358330195993
9.95,7.12944951778594
9.955,1.70686775759827
9.96,6.07653768573964
9.965,-0.763487430215626
9.97,12.1946452902395
9.975,6.06133006813743
9.98,1.55787852937675
9.985,-1.01646902522312
9.99,4.54466497158873
9.995,25.744546151518
